"year","dtbtor","CVD","CVA","value18","CVA18","CVD18","bill70","bill7018"
2017,"Musson",1.81,2.365,1.022,2.41703,1.84982,320.3055,327.352221
2012,"Nassogne",2.07,1.475,1.09217087138862,1.61095203529821,2.26079370377444,274.9375,300.278728952408
2013,"Nassogne",2.49,1.565,1.06449402669456,1.66593315177699,2.65059012646946,315.0055,335.321473125933
2014,"Nassogne",2.49,1.745,1.05187156788,1.8355158859506,2.6191602040212,328.3615,345.394125836429
2015,"Nassogne",2.49,1.935,1.046638376,2.02524525756,2.60612955624,342.4595,358.431254925772
2016,"Nassogne",2.49,2.115,1.040396,2.20043754,2.59058604,355.8155,370.189022938
2017,"Nassogne",2.49,2.365,1.022,2.41703,2.54478,374.3655,382.601541
2012,"Perwez",1.93,1.475,1.09217087138862,1.61095203529821,2.10788978178003,263.8075,288.122867153853
2013,"Perwez",1.93,1.565,1.06449402669456,1.66593315177699,2.0544734715205,270.4855,287.930199057491
2014,"Perwez",1.93,1.745,1.05187156788,1.8355158859506,2.0301121260084,283.8415,298.564803634411
2015,"Perwez",1.93,1.935,1.046638376,2.02524525756,2.02001206568,297.9395,311.834914426252
2016,"Perwez",1.93,2.115,1.040396,2.20043754,2.00796428,311.2955,323.870593018
2017,"Perwez",1.93,2.365,1.022,2.41703,1.97246,329.8455,337.102101
2012,"Rochefort",1.77,1.475,1.09217087138862,1.61095203529821,1.93314244235786,251.0875,274.23045366979
2013,"Rochefort",2.19,1.565,1.06449402669456,1.66593315177699,2.33124191846109,291.1555,309.933290589268
2014,"Rochefort",2.4311,1.745,1.05187156788,1.8355158859506,2.55720496867307,323.67895,340.468684626252
2015,"Rochefort",2.19,1.935,1.046638376,2.02524525756,2.29213804344,318.6095,333.468929658172
2016,"Rochefort",2.5428,2.115,1.040396,2.20043754,2.6455189488,360.0131,374.5561891876
2017,"Rochefort",2.5428,2.365,1.022,2.41703,2.5987416,378.5631,386.8914882
2012,"Rouvroy",1.18,1.475,1.09217087138862,1.61095203529821,1.28876162823857,204.1825,223.002178947307
2013,"Rouvroy",1.67,1.565,1.06449402669456,1.66593315177699,1.77770502457992,249.8155,265.927107525715
2014,"Rouvroy",1.67,1.745,1.05187156788,1.8355158859506,1.7566255183596,263.1715,276.822618326332
2015,"Rouvroy",1.67,1.935,1.046638376,2.02524525756,1.74788608792,277.2695,290.200899194332
2016,"Rouvroy",1.4,2.115,1.040396,2.20043754,1.4565544,269.1605,280.033507558
2017,"Rouvroy",1.4,2.365,1.022,2.41703,1.4308,287.7105,294.040131
2012,"Saint-Hubert",1.53,1.475,1.09217087138862,1.61095203529821,1.67102143322459,232.0075,253.391833443695
2013,"Saint-Hubert",1.53,1.565,1.06449402669456,1.66593315177699,1.62867586084268,238.6855,254.079289008604
2014,"Saint-Hubert",2.24,1.745,1.05187156788,1.8355158859506,2.3561923120512,308.4865,324.488178424814
2015,"Saint-Hubert",1.53,1.935,1.046638376,2.02524525756,1.60135671528,266.1395,278.551814069452
2016,"Saint-Hubert",2.24,2.115,1.040396,2.20043754,2.33048704,335.9405,349.511152438
2017,"Saint-Hubert",2.24,2.365,1.022,2.41703,2.28928,354.4905,362.289291
2012,"Saint-Leger",1.5491,1.475,1.09217087138862,1.61095203529821,1.69188189686811,233.52595,255.050240303355
2013,"Saint-Leger",1.5491,1.565,1.06449402669456,1.66593315177699,1.64900769675254,240.20395,255.695669963439
2014,"Saint-Leger",1.7567,1.745,1.05187156788,1.8355158859506,1.8478227832948,270.06415,284.07280088868
2015,"Saint-Leger",1.7567,1.935,1.046638376,2.02524525756,1.8386296351192,284.16215,297.415011196668
2016,"Saint-Leger",1.7976,2.115,1.040396,2.20043754,1.8702158496,300.7697,312.9195928012
2017,"Saint-Leger",1.7976,2.365,1.022,2.41703,1.8371472,319.3197,326.3447334
2012,"Saint-Vith",1.55,1.475,1.09217087138862,1.61095203529821,1.69286485065236,233.5975,255.128385129203
2013,"Saint-Vith",1.65,1.565,1.06449402669456,1.66593315177699,1.75641514404602,248.2255,264.234562023271
2014,"Saint-Vith",NA,1.745,1.05187156788,1.8355158859506,NA,NA,NA
