"id"	"parcarea"	"geometry"
"1485"	1270.2971	"c(107458.255, 145505.028)"
"1492"	966.3432	"c(123406.881, 133224.722)"
"1539"	439.699	"c(94958.839, 133473.868)"
"1557"	607.6978	"c(108301.602, 145352.313)"
"1567"	367.6359	"c(134828.352, 131566.599)"
"1574"	932.4375	"c(137078.2, 151622.256)"
"1594"	1191.3097	"c(118305.423, 148265.09)"
"1615"	122.7733	"c(137729.047, 128731.434)"
"1627"	550.734	"c(143282.348, 128641.899)"
"1636"	443.0703	"c(132648.075, 128715.237)"
"1645"	799.3162	"c(134484.291, 130597.758)"
"1647"	1295.473	"c(113091.031, 157610.797)"
"1656"	200.5502	"c(108439.178, 133049.446)"
"1666"	282.314	"c(113860.124, 157108.587)"
"1668"	248.2713	"c(138218.087, 152921.684)"
"1705"	211.1756	"c(133104.783, 144289.375)"
"1706"	459.6646	"c(109031.574, 150376.912)"
"1710"	718.4829	"c(110006.746, 149400.334)"
"1720"	1718.6206	"c(107156.315, 161000.986)"
"1737"	583.1734	"c(129469.268, 154086.126)"
"1744"	80.924	"c(140881.697, 129525.767)"
"1768"	311.9491	"c(136088.041, 140015.507)"
"1772"	400.2511	"c(140201.155, 153346.452)"
"1836"	125.3087	"c(129692.921, 152990.932)"
"1837"	1374.0885	"c(102779.896, 157185.872)"
"1866"	263.4185	"c(134941.676, 138953.227)"
"1874"	277.9729	"c(119605.952, 131266.782)"
"1885"	404.0571	"c(140083.722, 133327.829)"
"1906"	435.0635	"c(112349.517, 155878.47)"
"1912"	92.1325	"c(100320.175, 155845.003)"
"1921"	1127.2834	"c(95187.089, 144133.634)"
"1930"	184.4192	"c(120941.521, 129277.583)"
"2001"	207.6569	"c(96855.772, 142287.071)"
"2037"	590.3678	"c(100245.161, 152911.431)"
"2038"	448.7996	"c(134203.165, 144443.766)"
"2070"	71.459	"c(138851.723, 147902.66)"
"2098"	1060.7248	"c(106754.405, 138609.608)"
"2115"	2838.6273	"c(115778.039, 135695.535)"
"2116"	1582.0935	"c(112888.786, 149004.874)"
"2132"	741.5478	"c(135758.451, 153495.334)"
"2153"	1009.5164	"c(143235.413, 136092.313)"
"2167"	994.3176	"c(96235.186, 133782.062)"
"2190"	2163.9386	"c(131304.996, 128439.492)"
"2219"	1144.6049	"c(117662.604, 128540.267)"
"2235"	937.5197	"c(132242.155, 151096.039)"
"2237"	80.6805	"c(137422.34, 130034.992)"
"2244"	1489.4767	"c(105495.48, 139292.026)"
"2248"	243.2448	"c(137461.181, 129179.455)"
"2259"	751.7723	"c(113511.971, 135118.423)"
"2268"	537.7649	"c(130238.419, 153418.386)"
"2296"	110.134	"c(103490.737, 152641.958)"
"2301"	261.849	"c(138050.402, 153083.393)"
"2343"	1045.7556	"c(134453.897, 131201.48)"
"2345"	242.2923	"c(136352.751, 137291.1)"
"2359"	2587.3115	"c(101951.482, 138012.072)"
"2362"	624.1782	"c(140403.044, 153209.18)"
"2365"	319.2231	"c(136426.266, 148916.943)"
"2391"	989.424	"c(106556.07, 137512.52)"
"2421"	150.2058	"c(96141.149, 132286.33)"
"2426"	1155.5322	"c(117696.193, 150404.15)"
"2432"	1237.003	"c(120545.585, 139080.473)"
"2437"	638.0259	"c(126710.378, 150525.946)"
"2441"	409.0543	"c(111539.253, 130340.916)"
"2446"	78.5883	"c(99399.277, 144363.538)"
"2449"	779.4296	"c(142628.432, 135189.169)"
"2450"	2045.5921	"c(140963.127, 147192.356)"
"2466"	989.2046	"c(138823.022, 153041.904)"
"2469"	240.0755	"c(133150.146, 142902.871)"
"2481"	497.7118	"c(128649.645, 153471.744)"
"2492"	11444.3625	"c(138547.867, 153851.806)"
"2493"	1796.6239	"c(135766.204, 133237.803)"
"2511"	597.6173	"c(139040.955, 129949.135)"
"2543"	2062.5708	"c(101252.565, 131348.827)"
"2552"	559.5659	"c(133665.717, 144136.341)"
"2563"	129.5185	"c(130560.475, 146171.547)"
"2566"	353.4289	"c(135108.255, 138857.145)"
"2588"	673.652	"c(143770.421, 131472.433)"
"2589"	921.8524	"c(99322.951, 158479.848)"
"2594"	846.9082	"c(135062.488, 144252.436)"
"2603"	278.9997	"c(111445.981, 155935.412)"
"2638"	2673.4863	"c(114129.906, 153220.507)"
"2639"	956.231	"c(97562.467, 137123.657)"
"2654"	306.7656	"c(95374.696, 133739.655)"
"2665"	177.0159	"c(136841.384, 128712.936)"
"2672"	2287.5681	"c(96165.668, 152666.151)"
"2676"	767.0711	"c(144265.039, 131576.847)"
"2678"	815.8413	"c(137698.795, 147753.541)"
"2732"	787.037	"c(138874.029, 152479.644)"
"2733"	531.7464	"c(140728.842, 129648.641)"
"2739"	2042.4006	"c(101142.298, 158324.908)"
"2742"	470.6594	"c(138970.811, 129252.443)"
"2749"	1093.8595	"c(139356.132, 132779.448)"
"2765"	290.7768	"c(107587.575, 146165.744)"
"2772"	246.1065	"c(140625.62, 150383.451)"
"2792"	136.9664	"c(109324.645, 137844.811)"
"2801"	642.7	"c(136559.247, 148347.812)"
"2823"	110.7795	"c(138535.159, 129400.519)"
"2829"	394.4356	"c(98159.103, 140248.111)"
"2832"	564.3064	"c(137181.265, 153905.371)"
"2851"	1700.9193	"c(101137.711, 131518.967)"
"2862"	50.5264	"c(143280.916, 139670.882)"
"2868"	162.4084	"c(133277.46, 150787.566)"
"2885"	323.6614	"c(136237.328, 137034.068)"
"1030"	443.8982	"c(156531.509, 72444.841)"
"34"	1542.9297	"c(150231.183, 126945.927)"
"59"	108.2019	"c(157554.013, 127934.108)"
"89"	979.802	"c(187964.512, 126744.095)"
"97"	363.4734	"c(164228.363, 106944)"
"100"	161.1737	"c(151506.171, 122848.599)"
"101"	2083.2696	"c(146967.316, 93190.811)"
"102"	475.4889	"c(148659.38, 126778.185)"
"103"	280.9878	"c(147045.186, 122511.863)"
"116"	572.4117	"c(159418.312, 107920.31)"
"120"	72.0262	"c(158400.588, 126540.098)"
"139"	340.6494	"c(144626.321, 125056.422)"
"144"	374.4928	"c(156477.861, 119953.868)"
"150"	244.1534	"c(183832.179, 127628.395)"
"151"	32.6689	"c(162392.067, 98378.099)"
"152"	1143.3025	"c(158097.352, 113575.247)"
"157"	936.3498	"c(167159.694, 98011.115)"
"177"	436.8317	"c(153285.28, 118350.148)"
"196"	44.5387	"c(152529.177, 124508.568)"
"197"	181.4127	"c(152371.021, 123515.406)"
"216"	1621.9311	"c(150221.697, 125040.396)"
"238"	2297.8167	"c(193890.318, 125588.903)"
"244"	1584.9286	"c(188792.685, 112377.583)"
"256"	312.491	"c(152132.808, 120995.82)"
"257"	225.5268	"c(162108.07, 121532.095)"
"269"	326.0729	"c(162030.346, 124123.732)"
"279"	384.0855	"c(152857.005, 125812.936)"
"294"	210.0084	"c(147273.767, 109056.945)"
"296"	186.991	"c(173477.701, 96723.713)"
"298"	285.1199	"c(157718.34, 121355.055)"
"335"	108.0477	"c(189359.052, 104271.049)"
"351"	154.1581	"c(158143.959, 108437.992)"
"365"	1015.6078	"c(153147.817, 116630.407)"
"370"	57.2563	"c(156436.61, 122087.505)"
"371"	193.9501	"c(154934.037, 97631.368)"
"382"	1416.9173	"c(159686.837, 125219.357)"
"392"	778.7378	"c(175266.92, 125238.728)"
"396"	161.9339	"c(151476.401, 125474.036)"
"402"	239.6912	"c(166984.471, 104892.283)"
"408"	473.3788	"c(167449.502, 84002.252)"
"427"	790.2311	"c(187028.88, 126485.601)"
"476"	191.2529	"c(153293.791, 125896.969)"
"477"	296.7409	"c(160811.919, 122383.509)"
"478"	429.7029	"c(146821.992, 124483.09)"
"479"	446.2697	"c(165854.473, 98443.638)"
"494"	127.4137	"c(146621.991, 122479.201)"
"505"	312.3565	"c(185772.892, 127761.066)"
"523"	827.1676	"c(186452.894, 125936.797)"
"548"	344.5468	"c(150404.996, 122438.523)"
"549"	702.5373	"c(155497.593, 114603.117)"
"556"	86.9319	"c(157361.753, 121203.728)"
"557"	290.6693	"c(167957.415, 123628.866)"
"565"	907.7407	"c(162133.71, 111165.907)"
"606"	265.1228	"c(160295.265, 124527.248)"
"610"	139.6275	"c(152097.351, 121122.165)"
"612"	678.0749	"c(173468.374, 126053.081)"
